"pos_age","line_age","pos","pop","line","age","lat","region","percent_N","percent_C","C_N"
"148_young","Gav_6_young",148,"Gav",6,"young",8.72883,"tropical",3.494,39.53,11.31339439
"149_young","Gav_22_young",149,"Gav",22,"young",8.72883,"tropical",2.77,39.061,14.10144404
"150_young","Gav_22_young",150,"Gav",22,"young",8.72883,"tropical",3.132,38.421,12.26724138
"151_young","Gav_22_young",151,"Gav",22,"young",8.72883,"tropical",3.264,39.325,12.04810049
"152_young","Gav_23_young",152,"Gav",23,"young",8.72883,"tropical",2.753,38.872,14.11986923
"153_young","Gav_1_young",153,"Gav",1,"young",8.72883,"tropical",2.8846,35.6599,12.3621646
"154_young","Gav_1_young",154,"Gav",1,"young",8.72883,"tropical",4.6151,43.4792,9.4210743
"155_young","Gav_1_young",155,"Gav",1,"young",8.72883,"tropical",4.4108,44.6291,10.11814183
"156_young","Gav_6_young",156,"Gav",6,"young",8.72883,"tropical",2.4075,32.6294,13.55322949
"157_young","Gav_6_young",157,"Gav",6,"young",8.72883,"tropical",2.2806,37.3451,16.37512058
"158_young","Gav_6_young",158,"Gav",6,"young",8.72883,"tropical",4.1219,42.4149,10.29013319
"159_young","Gav_23_young",159,"Gav",23,"young",8.72883,"tropical",3.0899,33.139,10.72494255
"160_young","Gav_23_young",160,"Gav",23,"young",8.72883,"tropical",3.668,60.0906,16.38238822
"161_young","Gav_23_young",161,"Gav",23,"young",8.72883,"tropical",3.5328,38.7258,10.96178668
"162_mature","Gen Butler_1_mature",162,"Gen Butler",1,"mature",38.675517,"temperate",8.604,49.43,5.744537424
"163_mature","Gen Butler_1_mature",163,"Gen Butler",1,"mature",38.675517,"temperate",8.961,58.788,6.560428524
"164_mature","Gen Butler_1_mature",164,"Gen Butler",1,"mature",38.675517,"temperate",1.945,38.284,19.68329049
"165_mature","Gen Butler_2_mature",165,"Gen Butler",2,"mature",38.675517,"temperate",1.494,44.142,29.54618474
"166_mature","Gen Butler_2_mature",166,"Gen Butler",2,"mature",38.675517,"temperate",5.421,38.936,7.182438664
"167_mature","Gen Butler_2_mature",167,"Gen Butler",2,"mature",38.675517,"temperate",1.142,34.14,29.89842382
"168_mature","Gen Butler_3_mature",168,"Gen Butler",3,"mature",38.675517,"temperate",1.351,42.237,31.26350851
"169_mature","Gen Butler_3_mature",169,"Gen Butler",3,"mature",38.675517,"temperate",1.19,35.55,29.87478992
"170_mature","Gen Butler_3_mature",170,"Gen Butler",3,"mature",38.675517,"temperate",1.277,38.189,29.90524667
"171_mature","Gen Butler_7_mature",171,"Gen Butler",7,"mature",38.675517,"temperate",2.563,38.27,14.93250098
"172_mature","Gen Butler_7_mature",172,"Gen Butler",7,"mature",38.675517,"temperate",2.342,34.5,14.7322801
"173_mature","Gen Butler_7_mature",173,"Gen Butler",7,"mature",38.675517,"temperate",3.877,65.4,16.86974465
"174_mature","Gen Butler_9_mature",174,"Gen Butler",9,"mature",38.675517,"temperate",1.623,40.812,25.14602588
"175_mature","Gen Butler_9_mature",175,"Gen Butler",9,"mature",38.675517,"temperate",1.261,35.799,28.38937351
"176_mature","Gen Butler_9_mature",176,"Gen Butler",9,"mature",38.675517,"temperate",0.839,27.992,33.36352801
"177_young","Gen Butler_1_young",177,"Gen Butler",1,"young",38.675517,"temperate",7.968,40.56,5.090486948
"178_young","Gen Butler_1_young",178,"Gen Butler",1,"young",38.675517,"temperate",7.525,40.767,5.417541528
"179_young","Gen Butler_1_young",179,"Gen Butler",1,"young",38.675517,"temperate",3.321,26.972,8.121650105
"180_young","Gen Butler_2_young",180,"Gen Butler",2,"young",38.675517,"temperate",1.581,37.913,23.98039216
"181_young","Gen Butler_2_young",181,"Gen Butler",2,"young",38.675517,"temperate",5.475,31.393,5.733881279
"182_young","Gen Butler_2_young",182,"Gen Butler",2,"young",38.675517,"temperate",1.757,36.55,20.80421172
"183_young","Gen Butler_3_young",183,"Gen Butler",3,"young",38.675517,"temperate",0.443,14.671,33.11738149
"184_young","Gen Butler_3_young",184,"Gen Butler",3,"young",38.675517,"temperate",1.234,39.02,31.61750405
"185_young","Gen Butler_3_young",185,"Gen Butler",3,"young",38.675517,"temperate",1.164,37.023,31.80670103
"186_young","Gen Butler_7_young",186,"Gen Butler",7,"young",38.675517,"temperate",3.583,39.88,11.13117499
"187_young","Gen Butler_7_young",187,"Gen Butler",7,"young",38.675517,"temperate",2.925,40.059,13.69538462
"188_young","Gen Butler_7_young",188,"Gen Butler",7,"young",38.675517,"temperate",3.949,41.78,10.57938719
"189_young","Gen Butler_9_young",189,"Gen Butler",9,"young",38.675517,"temperate",1.441,35.322,24.51214434
"190_young","Gen Butler_9_young",190,"Gen Butler",9,"young",38.675517,"temperate",1.351,39.772,29.43893412
"191_young","Gen Butler_9_young",191,"Gen Butler",9,"young",38.675517,"temperate",1.062,39.126,36.84180791
"192_mature","HV_3_mature",192,"HV",3,"mature",37.1818,"temperate",1.558,41.619,26.71309371
"193_mature","HV_3_mature",193,"HV",3,"mature",37.1818,"temperate",1.459,41.844,28.67991775
"194_mature","HV_3_mature",194,"HV",3,"mature",37.1818,"temperate",1.672,39.165,23.42404306
"195_mature","HV_5_mature",195,"HV",5,"mature",37.1818,"temperate",1.498,36.39,24.29238985
"196_mature","HV_5_mature",196,"HV",5,"mature",37.1818,"temperate",0.936,27.911,29.81944444
"197_mature","HV_5_mature",197,"HV",5,"mature",37.1818,"temperate",1.365,41.65,30.51282051
"198_mature","HV_7_mature",198,"HV",7,"mature",37.1818,"temperate",1.426,37.716,26.44880785
"199_mature","HV_7_mature",199,"HV",7,"mature",37.1818,"temperate",1.244,35.113,28.22588424
"200_mature","HV_7_mature",200,"HV",7,"mature",37.1818,"temperate",1.011,31.12,30.77645895
"201_mature","HV_10_mature",201,"HV",10,"mature",37.1818,"temperate",1.475,39.06,26.4779661
"202_mature","HV_10_mature",202,"HV",10,"mature",37.1818,"temperate",1.259,38.811,30.8268467
"203_mature","HV_10_mature",203,"HV",10,"mature",37.1818,"temperate",1.436,42.171,29.36699164
"204_mature","HV_10_mature",204,"HV",10,"mature",37.1818,"temperate",1.376,40.939,29.75218023
"205_mature","HV_13_mature",205,"HV",13,"mature",37.1818,"temperate",1.656,46.34,27.98550725
"206_mature","HV_13_mature",206,"HV",13,"mature",37.1818,"temperate",1.293,37.571,29.05723125
"207_mature","HV_13_mature",207,"HV",13,"mature",37.1818,"temperate",1.476,41.008,27.78319783
"208_young","HV_3_young",208,"HV",3,"young",37.1818,"temperate",1.449,30.34,20.93857833
"209_young","HV_3_young",209,"HV",3,"young",37.1818,"temperate",1.661,37.386,22.50812763
"210_young","HV_3_young",210,"HV",3,"young",37.1818,"temperate",1.591,33.049,20.77247014
"211_young","HV_5_young",211,"HV",5,"young",37.1818,"temperate",2.184,36.418,16.67490842
