"pos_age","line_age","pos","pop","line","age","lat","region","log.abund","richness","diversity","NMDS1","NMDS2"
"38_mature","Gen Butler_2_mature",38,"Gen Butler",2,"mature",38.675517,"temperate",10.2020244326636,1078,4.32181059296575,-0.0801345955875823,-0.40657351153712
"38_young","Gen Butler_2_young",38,"Gen Butler",2,"young",38.675517,"temperate",11.7586720860379,1001,4.65721495843102,-0.137897370047619,-0.0402557249306089
"67_mature","Gen Butler_7_mature",67,"Gen Butler",7,"mature",38.675517,"temperate",11.2276044861903,751,4.10007934647604,-0.283850865981672,0.0358142537406243
"67_young","Gen Butler_7_young",67,"Gen Butler",7,"young",38.675517,"temperate",10.7803315389159,778,4.66664805320287,-0.170457220514361,0.119809479721685
"51_mature","Gen Butler_9_mature",51,"Gen Butler",9,"mature",38.675517,"temperate",10.2674661087651,852,4.39000915631371,-0.163972917152567,-0.170831664010669
"51_young","Gen Butler_9_young",51,"Gen Butler",9,"young",38.675517,"temperate",10.1544037877175,689,4.43711135639199,-0.317815987224286,0.107999592382523
"140_mature","HV_10_mature",140,"HV",10,"mature",37.1818,"temperate",11.560372176638,1080,3.70482995691643,-0.258209722657032,-0.255402886825514
"140_young","HV_10_young",140,"HV",10,"young",37.1818,"temperate",10.9096392095667,879,4.59719237213361,-0.159512084455334,0.0225949273931564
"89_mature","HV_13_mature",89,"HV",13,"mature",37.1818,"temperate",10.7533650093416,882,4.80956150849973,-0.199763092271628,-0.0852283530782573
"89_young","HV_13_young",89,"HV",13,"young",37.1818,"temperate",11.1738313620313,820,4.5948274418836,-0.2789529314651,0.233538794314006
"17_mature","HV_3_mature",17,"HV",3,"mature",37.1818,"temperate",10.4421671988229,963,4.6171415040427,-0.121666670465737,-0.3112989832885
"17_young","HV_3_young",17,"HV",3,"young",37.1818,"temperate",10.6096832277473,989,4.61615766658917,0.0364575708018978,-0.263615147135541
"148_mature","HV_5_mature",148,"HV",5,"mature",37.1818,"temperate",10.1386824843347,1178,4.34956536361466,-0.0275687821083559,-0.417510753944626
"148_young","HV_5_young",148,"HV",5,"young",37.1818,"temperate",10.4654924754269,1008,4.67279137775019,-0.129144837027173,-0.125431165270956
"69_mature","HV_7_mature",69,"HV",7,"mature",37.1818,"temperate",10.4974599705089,982,4.64597885189363,-0.149566602633885,-0.194092241647026
"69_young","HV_7_young",69,"HV",7,"young",37.1818,"temperate",12.0503999339164,664,4.60395674743072,-0.410675452075938,0.245367601322004
"100_mature","Hwy 27_1_mature",100,"Hwy 27",1,"mature",26.537067,"subtropical",9.77120327556474,833,4.70006822771748,-0.00637575597512195,0.0344623369916797
"100_young","Hwy 27_1_young",100,"Hwy 27",1,"young",26.537067,"subtropical",11.4219571101119,708,4.43250971531438,-0.163136710736567,0.280378150396131
"81_mature","Hwy 27_2_mature",81,"Hwy 27",2,"mature",26.537067,"subtropical",9.45821179329412,798,4.80476069627878,0.134517239926085,0.124732192616164
"81_young","Hwy 27_2_young",81,"Hwy 27",2,"young",26.537067,"subtropical",10.9989547188712,773,4.75691699351384,0.0327691697993691,0.357012051347969
"78_mature","Hwy 27_3_mature",78,"Hwy 27",3,"mature",26.537067,"subtropical",9.94008893881642,751,4.71473438065745,0.00185255580244811,0.265631859497748
"78_young","Hwy 27_3_young",78,"Hwy 27",3,"young",26.537067,"subtropical",10.7141736118884,538,4.51757593163612,-0.290368602934178,0.658306838319533
"25_mature","Hwy 27_6_mature",25,"Hwy 27",6,"mature",26.537067,"subtropical",9.60009318115597,842,4.49185337588277,0.173009147938057,-0.188704812675672
