date,cupID,rep,mass_mg
5/3/17,216,D,5.642
5/3/17,216,C,9.006
5/3/17,217,D,3.338
5/3/17,217,B,3.758
5/3/17,217,C,3.826
5/3/17,217,A,3.904
5/3/17,218,C,1.508
5/3/17,218,D,4.686
5/3/17,218,E,6.740
5/3/17,218,B,9.888
5/3/17,218,A,10.566
5/3/17,219,B,2.802
5/3/17,219,A,7.584
5/3/17,220,C,3.592
5/3/17,220,A,4.564
5/3/17,220,D,6.240
5/3/17,220,B,6.662
5/3/17,221,A,3.060
5/3/17,221,B,3.860
5/3/17,222,A,NA
5/3/17,223,A,0.672
5/3/17,223,D,1.518
5/3/17,223,B,1.654
5/3/17,223,C,4.518
5/3/17,224,C,3.088
5/3/17,224,B,5.006
5/3/17,224,A,6.898
5/3/17,225,A,0.362
5/3/17,225,C,0.732
5/3/17,225,B,0.904
5/3/17,225,E,3.188
5/3/17,225,D,3.852
5/12,226,B,2.280
5/12,226,C,4.190
5/12,226,A,5.564
5/12,227,B,1.228
5/12,227,D,1.950
5/12,227,C,2.788
5/12,227,A,3.996
5/12,228,A,2.458
5/12,228,C,2.756
5/12,228,B,5.264
5/12,229,A,0.074
5/12,229,C,0.542
5/12,229,E,4.856
5/12,229,D,5.408
5/12,229,B,7.396
5/12,230,A,7.262
5/12,231,A,2.492
5/12,231,D,2.994
5/12,231,C,7.768
5/12,231,B,9.250
5/12,232,C,1.866
5/12,232,B,3.560
5/12,232,A,6.110
5/12,232,D,7.028
5/12,233,C,1.838
5/12,233,B,2.868
5/12,233,A,6.490
5/12,234,B,1.242
5/12,234,A,1.862
5/2/17,235,B,1.450
5/2/17,235,C,6.880
5/2/17,235,A,8.172
5/2/17,236,D,0.394
5/2/17,236,B,1.948
5/2/17,236,C,3.696
5/2/17,236,A,6.154
5/2/17,237,D,3.968
5/2/17,237,B,7.360
5/2/17,237,C,7.690
5/2/17,237,E,7.894
5/2/17,237,A,11.638
5/2/17,238,D,3.064
5/2/17,238,A,5.840
5/2/17,238,B,5.946
5/2/17,238,C,6.808
5/3/17,239,D,3.84
5/3/17,239,C,5.904
5/3/17,239,A,6.286
5/3/17,239,E,9.96
5/3/17,239,B,12.666
5/3/17,240,E,1.418
5/3/17,240,D,4.294
5/3/17,240,A,5.012
5/3/17,240,C,8.612
5/3/17,240,B,11.922
5/3/17,241,B,4.228
5/3/17,241,A,8.426
5/3/17,241,C,12.914
5/3/17,242,A,1.246
5/3/17,242,B,30.922
5/3/17,242,C,56.068
5/3/17,243,B,5.874
5/3/17,243,E,7.958
5/3/17,243,A,9.028
5/3/17,243,C,17.288
5/3/17,243,D,17.418
5/3/17,244,A,7.060
5/3/17,244,B,7.226
5/8pm,245,E,5.984
5/8pm,245,C,8.656
5/8pm,245,D,14.344
5/8pm,245,B,19.682
5/8pm,245,A,20.730
5/8pm,246,C,5.244
5/8pm,246,B,5.826
5/8pm,246,D,6.592
5/8pm,246,A,8.418
5/8pm,247,E,1.570
5/8pm,247,D,4.026
5/8pm,247,B,4.274
5/8pm,247,A,4.548
5/8pm,247,C,5.300
5/8pm,248,B,12.428
5/8pm,248,A,15.072
5/8pm,249,A,5.682
5/8pm,249,E,20.460
5/8pm,249,D,38.250
5/8pm,249,C,40.556
5/8pm,249,B,41.748
5/8pm,250,B,3.620
5/8pm,250,A,11.564
5/8pm,251,A,6.280
5/8pm,251,B,8.350
5/8pm,251,C,9.672
5/8pm,251,E,13.656
5/8pm,251,D,14.354
5/8pm,252,C,0.476
5/8pm,252,D,0.872
5/8pm,252,E,1.124
5/8pm,252,A,4.262
5/8pm,252,B,10.406
5/8pm,253,B,21.646
5/8pm,253,C,27.136
5/8pm,253,D,28.140
5/8pm,253,A,32.152
5/8pm,254,C,1.832
5/8pm,254,A,2.528
5/8pm,254,B,3.028
5/8pm,255,E,1.052
5/8pm,255,C,4.944
5/8pm,255,D,5.214
5/8pm,255,A,6.204
5/8pm,255,B,13.376
5/8pm,256,A,2.372
5/8pm,256,C,7.270
5/8pm,256,D,7.886
5/8pm,256,B,8.222
5/8pm,257,B,9.754
5/8pm,257,A,9.828
5/8pm,257,C,11.180
5/8pm,257,D,16.986
5/8pm,258,E,17.090
5/8pm,258,D,19.008
5/8pm,258,C,26.866
5/8pm,258,B,27.432
5/8pm,258,A,35.662
5/8pm,259,D,0.494
5/8pm,259,B,1.992
5/8pm,259,A,4.126
5/8pm,259,C,7.282
5/12,260,B,0.790
5/12,260,C,8.614
5/12,260,D,8.738
5/12,260,A,10.372
5/12,287,D,1.638
5/12,287,B,2.964
5/12,287,A,5.170
5/12,287,C,7.560
5/12,287,E,8.204
5/12,288,C,1.764
5/12,288,A,3.238
5/12,288,B,5.526
5/12,288,D,5.846
5/12,288,E,7.830
5/12,289,C,3.016
5/12,289,A,3.102
